Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
--------------------------------------------  --------------------------------------------------------------------  --------------------------------------  ----------------  --------------  ------------  ---------------  --------------  -------------  ----------------
Tetris                                        /games/boxart/full_2881264AmericaFrontccc.jpg                         The Tetris Company                      N/A               N/A             N/A           496.40m          01st Jan 88     27th Feb 20    Puzzle
Diablo                                        /games/boxart/full_3500762AmericaFrontccc.jpg                         Blizzard Entertainment                  N/A               N/A             N/A           55.00m           03rd Jan 97     18th Feb 20    Role-Playing
The Elder Scrolls                             /games/boxart/full_9103473AmericaFrontccc.jpg                         Bethesda Softworks                      N/A               N/A             N/A           58.62m           25th Mar 94     04th Mar 20    Role-Playing
Metal Gear                                    /games/boxart/full_2853547AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           59.50m           13th Jul 87     26th Feb 20    Action-Adventure
Donkey Kong                                   /games/boxart/full_1999242AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           65.00m           31st Jul 81     21st Feb 20    Platform
The Oregon Trail                              /games/boxart/full_4881908AmericaFrontccc.jpg                         MECC                                    N/A               N/A             N/A           65.00m           03rd Dec 71     18th Feb 20    Education
Civilization                                  /games/boxart/full_9940273AmericaFrontccc.png                         Microprose                              N/A               N/A             N/A           65.00m           01st Sep 91     05th Feb 20    Strategy
God of War                                    /games/boxart/full_5741036AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           65.50m           22nd Mar 05     04th Mar 20    Action
Dragon Ball                                   /games/boxart/full_2251346AmericaFrontccc.jpg                         Bandai                                  N/A               N/A             N/A           65.85m           27th Sep 86     05th Mar 20    Role-Playing
The Witcher                                   /games/boxart/full_9734805AmericaFrontccc.jpg                         CD Projekt                              N/A               N/A             N/A           65.00m           30th Oct 07     13th Feb 20    Role-Playing
PlayerUnknown's Battlegrounds                 /games/boxart/full_7050830AmericaFrontccc.jpg                         PUBG Corporation                        N/A               N/A             N/A           70.00m           17th Dec 17     24th Oct 20    Shooter
Red Dead                                      /games/boxart/full_6060997AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           70.00m           04th May 04     26th Feb 20    Action-Adventure
Just Dance                                    /games/boxart/full_3570409AmericaFrontccc.png                         Ubisoft                                 N/A               N/A             N/A           70.00m           17th Nov 09     11th Feb 20    Music
Counter-Strike                                /games/boxart/full_6829881AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           65.00m           09th Nov 00     19th Feb 20    Shooter
Far Cry 4                                     /games/boxart/full_4057113AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           10.00m           18th Nov 14     28th Oct 20    Shooter
Mario Party                                   /games/boxart/full_3515224AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           70.09m           01st Feb 99     18th Feb 20    Party
WWE 2K                                        /games/boxart/full_49407AmericaFrontccc.jpg                           2K Games                                N/A               N/A             N/A           70.00m           02nd Mar 00     02nd Mar 20    Fighting
Assassin's Creed Odyssey                      /games/boxart/full_778605AmericaFrontccc.png                          Ubisoft                                 N/A               N/A             N/A           10.00m           05th Oct 18     21st Oct 20    Action-Adventure
Far Cry 3                                     /games/boxart/full_7476236AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           10.00m           04th Dec 12     28th Oct 20    Shooter
NBA 2K18                                      /games/boxart/full_4883837AmericaFrontccc.jpg                         2K Sports                               N/A               N/A             N/A           10.00m           19th Sep 17     22nd Oct 20    Sports
Assassin's Creed Unity                        /games/boxart/full_9124825AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           10.00m           11th Nov 14     21st Oct 20    Action-Adventure
Final Fantasy XV                              /games/boxart/full_8559796AmericaFrontccc.jpg                         Square Enix                             N/A               N/A             N/A           10.00m           29th Nov 16     19th Oct 20    Role-Playing
FIFA 12                                       /games/boxart/full_6363956AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           10.00m           27th Sep 11     15th Oct 20    Sports
FIFA 10                                       /games/boxart/full_1773022PALFrontccc.jpg                             EA Sports                               N/A               N/A             N/A           10.00m           20th Oct 09     15th Oct 20    Sports
Monster Hunter World: Iceborne                /games/boxart/full_9023300AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           10.00m           06th Sep 19     13th Oct 20    Role-Playing
Tekken 7                                      /games/boxart/full_1826910AmericaFrontccc.jpg                         Bandai Namco Entertainment              N/A               N/A             N/A           10.00m           18th Mar 15     09th Oct 20    Fighting
Assassin's Creed Origins                      /games/boxart/full_8216446AmericaFrontccc.png                         Ubisoft                                 N/A               N/A             N/A           10.00m           27th Oct 17     21st Oct 20    Action-Adventure
Buzz!                                         /games/boxart/full_34461AmericaFrontccc.png                           Sony Interactive Entertainment          N/A               N/A             N/A           10.00m           21st Oct 05     17th Feb 20    Party
Pitfall                                       /games/boxart/full_7225226AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           10.00m           20th Apr 82     16th Feb 20    Platform
The Sims 3                                    /games/boxart/full_8800543AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           10.00m           02nd Jun 09     18th Oct 20    Simulation
The Settlers                                  /games/boxart/full_7404545AmericaFrontccc.jpg                         Blue Byte                               N/A               N/A             N/A           10.00m           30th Jun 93     10th Feb 20    Strategy
Killing Floor                                 /games/boxart/full_2864291AmericaFrontccc.png                         Tripwire Interactive                    N/A               N/A             N/A           10.00m           14th May 09     07th Feb 20    Shooter
Marvel vs. Capcom                             /games/boxart/full_6527766AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           10.00m           01st Dec 96     03rd Feb 20    Fighting
MX vs. ATV                                    /games/boxart/full_2914566AmericaFrontccc.jpg                         THQ Nordic                              N/A               N/A             N/A           10.00m           05th Feb 01     26th Apr 20    Racing
Horizon: Zero Dawn                            /games/boxart/full_719511AmericaFrontccc.jpg                          Sony Interactive Entertainment          N/A               9.1             8.0           10.00m           28th Feb 17     24th Sep 20    Action-Adventure
The Last of Us Part II                        /games/boxart/full_423137AmericaFrontccc.jpg                          Sony Interactive Entertainment          7.0               N/A             N/A           10.00m           19th Jun 20     25th Jul 20    Action
Just Dance 3                                  /games/boxart/full_just-dance-3_883AmericaFront.jpg                   Ubisoft                                 N/A               7.5             N/A           10.00m           07th Oct 11     N/A            Misc
RollerCoaster Tycoon 3                        /games/boxart/full_6560922AmericaFrontccc.jpg                         Atari                                   N/A               8.3             N/A           10.00m           26th Oct 04     N/A            Strategy
Just Dance 2                                  /games/boxart/full_just-dance-2_8AmericaFront.jpg                     Ubisoft                                 7.5               7.3             N/A           10.00m           12th Oct 10     N/A            Misc
SaGa                                          /games/boxart/full_2872487AmericaFrontccc.jpg                         Square Enix                             N/A               N/A             N/A           10.10m           30th Sep 90     29th Feb 20    Role-Playing
Nobunaga's Ambition                           /games/boxart/full_2888392AmericaFrontccc.jpg                         KOEI                                    N/A               N/A             N/A           10.20m           01st Mar 83     14th Feb 20    Strategy
Star Fox                                      /games/boxart/full_2932449AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           10.28m           26th Mar 93     18th Aug 20    Shooter
Call of Duty: Ghosts                          /games/boxart/full_8522439AmericaFrontccc.jpg                         Activision                              N/A               6.9             N/A           N/A              05th Nov 13     21st Mar 18    Shooter
Splatoon 3                                    /games/boxart/full_7099900AmericaFrontccc.jpg                         Nintendo                                8.5               N/A             N/A           10.13m           09th Sep 22     17th Feb 21    Shooter
Call of Duty: Ghosts                          /games/boxart/full_3698558AmericaFrontccc.jpg                         Activision                              N/A               7.5             N/A           N/A              05th Nov 13     21st Mar 18    Shooter
Rocket League                                 /games/boxart/full_7218158AmericaFrontccc.jpg                         Psyonix                                 N/A               N/A             N/A           10.50m           07th Jul 15     16th Mar 20    Sports
Rocket League                                 /games/boxart/full_284097AmericaFrontccc.jpg                          Psyonix                                 N/A               N/A             N/A           10.50m           07th Jul 15     18th Dec 20    Sports
